long,lat,calle_nombre,calle_altura,modelo,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.488299396032296,-34.6483507530965,HOMERO,1095,MECÁNICA,Parque Avellaneda,Comuna 9,1407,C1407IFU
-58.48318837463329,-34.6523582742958,HOMERO,1553,MECÁNICA,Parque Avellaneda,Comuna 9,1407,C1407IGE
-58.478211536434294,-34.6562251354951,HOMERO,1961,MECÁNICA,Parque Avellaneda,Comuna 9,1407,C1407IGM
-58.476516720834596,-34.6575945553948,HOMERO,2055,MECÁNICA,Parque Avellaneda,Comuna 9,1439,C1439FLA
-58.4737900352351,-34.6597902086945,HOMERO,2312,MECÁNICA,Parque Avellaneda,Comuna 9,1439,C1439FLH
-58.4252292371373,-34.592006168598196,HONDURAS,4505,MECÁNICA,Palermo,Comuna 14,1414,C1414BMG
-58.436975781035,-34.583569238799804,HONDURAS,5685,MECÁNICA,Palermo,Comuna 14,1414,C1414BNE
-58.4377528456349,-34.582955128799895,HONDURAS,5749,MECÁNICA,Palermo,Comuna 14,1414,C1414BNG
-58.4413298517342,-34.5801388072005,HONDURAS,6067,MECÁNICA,Palermo,Comuna 14,1414,C1414BNM
-58.4219644732378,-34.5941107852978,HONDURAS AV.,4153,MECÁNICA,Palermo,Comuna 14,1180,C1180ACI
-58.4535102343336,-34.5970733406995,HUAURA,1474,MECÁNICA,Villa Crespo,Comuna 15,1414,C1414ACD
-58.4771188357361,-34.6802281220926,HUDSON,4306,MECÁNICA,Villa Lugano,Comuna 8,1439,C1439GAF
-58.4738519611367,-34.6827484717921,HUDSON,4606,MECÁNICA,Villa Lugano,Comuna 8,1439,C1439GAL
-58.5127086562275,-34.6280591139002,"HUGO, VICTOR",1253,MECÁNICA,Villa Luro,Comuna 10,1407,C1407BWW
-58.415647311939296,-34.6026598296965,HUMAHUACA,3608,MECÁNICA,Almagro,Comuna 5,1191,C1191ABH
-58.4180571516389,-34.6022233870967,HUMAHUACA,3806,MECÁNICA,Almagro,Comuna 5,1191,C1191ABL
-58.421672657938394,-34.601820300297,HUMAHUACA,4056,MECÁNICA,Almagro,Comuna 5,1192,C1192ACD
-58.4249760255379,-34.6015345373972,HUMAHUACA,4266,MECÁNICA,Almagro,Comuna 5,1192,C1192ACH
-58.4276937397375,-34.6012653809974,HUMAHUACA,4434,MECÁNICA,Almagro,Comuna 5,1192,C1192ACL
-58.52708259392671,-34.6459305784993,HUMAITA,7191,MECÁNICA,Liniers,Comuna 9,1408,C1408EGK
-58.392166771443904,-34.6215447268931,HUMBERTO 1°,1831,MECÁNICA,San Cristobal,Comuna 3,1229,C1229AAA
-58.3953382504434,-34.6216941079933,HUMBERTO 1°,2087,MECÁNICA,San Cristobal,Comuna 3,1229,C1229AAE
-58.3969649116432,-34.6217681371934,HUMBERTO 1°,2207,MECÁNICA,San Cristobal,Comuna 3,1229,C1229AAI
-58.4000030824428,-34.622090404793504,HUMBERTO 1°,2425,MECÁNICA,San Cristobal,Comuna 3,1229,C1229AAM
-58.4030372971424,-34.6224907263937,HUMBERTO 1°,2735,MECÁNICA,San Cristobal,Comuna 3,1231,C1231ACC
-58.406736546042005,-34.6230981108938,HUMBERTO 1°,2973,MECÁNICA,San Cristobal,Comuna 3,1231,C1231ACG
-58.409868697541505,-34.623603219494,HUMBERTO 1°,3169,MECÁNICA,San Cristobal,Comuna 3,1231,C1231ACK
-58.4409036756349,-34.5893967347995,HUMBOLDT,1143,MECÁNICA,Chacarita,Comuna 15,1414,C1414CTE
-58.43892509923511,-34.5877661478995,HUMBOLDT,1345,MECÁNICA,Palermo,Comuna 14,1414,C1414CTI
-58.4369927993352,-34.586337195999604,HUMBOLDT,1509,MECÁNICA,Palermo,Comuna 14,1414,C1414CTM
-58.43606990123529,-34.5855361762996,HUMBOLDT,1611,MECÁNICA,Palermo,Comuna 14,1414,C1414CTO
-58.434159359235494,-34.5838717374996,HUMBOLDT,1843,MECÁNICA,Palermo,Comuna 14,1414,C1414CTS
-58.43138999383571,-34.5814573518997,HUMBOLDT,2125,MECÁNICA,Palermo,Comuna 14,1425,C1425FUA
-58.4307541507357,-34.5809054619997,HUMBOLDT,2211,MECÁNICA,Palermo,Comuna 14,1425,C1425FUC
-58.4295869161358,-34.5798807140997,HUMBOLDT,2341,MECÁNICA,Palermo,Comuna 14,1425,C1425FUE
-58.52412995482679,-34.6414880870996,IBARROLA,6947,MECÁNICA,Liniers,Comuna 9,1408,C1408DXM
-58.525514552726605,-34.6415505156996,IBARROLA,7047,MECÁNICA,Liniers,Comuna 9,1408,C1408DXO
-58.48171699312739,-34.5627506082048,IBERA,4156,MECÁNICA,Villa Urquiza,Comuna 12,1430,C1430AWB
-58.484973493226995,-34.564367969204895,IBERA,4550,MECÁNICA,Villa Urquiza,Comuna 12,1430,C1430AWJ
-58.5003405330254,-34.5721388890051,IBERA,5905,MECÁNICA,Villa Urquiza,Comuna 12,1431,C1431AFA
-58.3985249795435,-34.6296201528927,INCLAN,2430,MECÁNICA,Parque Patricios,Comuna 4,1258,C1258AAD
-58.4011856992432,-34.6301034799928,INCLAN,2622,MECÁNICA,Parque Patricios,Comuna 4,1258,C1258AAH
-58.4043165650428,-34.630320632693,INCLAN,2859,MECÁNICA,Parque Patricios,Comuna 4,1258,C1258AAK
-58.4099178661421,-34.6313325896932,INCLAN,3208,MECÁNICA,Parque Patricios,Comuna 4,1258,C1258AAT
-58.392725488543604,-34.6181234376935,INDEPENDENCIA AV.,1869,MECÁNICA,Balvanera,Comuna 3,1225,C1225AAA
-58.395492005243206,-34.6182711670937,INDEPENDENCIA AV.,2065,MECÁNICA,Balvanera,Comuna 3,1225,C1225AAC
-58.397843310142896,-34.6183929971938,INDEPENDENCIA AV.,2217,MECÁNICA,Balvanera,Comuna 3,1225,C1225AAE
-58.4001664453425,-34.6185238202939,INDEPENDENCIA AV.,2405,MECÁNICA,Balvanera,Comuna 3,1225,C1225AAG
-58.4047669774419,-34.6190099917942,INDEPENDENCIA AV.,2789,MECÁNICA,Balvanera,Comuna 3,1225,C1225AAJ
-58.4071722541416,-34.6195016226943,INDEPENDENCIA AV.,2957,MECÁNICA,Balvanera,Comuna 3,1225,C1225AAL
-58.4093961634414,-34.6199618496944,INDEPENDENCIA AV.,3107,MECÁNICA,Balvanera,Comuna 3,1225,C1225ABA
-58.3685395270477,-34.6303956584907,IRALA,185,MECÁNICA,Boca,Comuna 4,1163,C1163ABC
-58.3691584200488,-34.647449957789,"IRIARTE, GRAL.",1377,MECÁNICA,Barracas,Comuna 4,1291,C1291ABA
-58.376238739247896,-34.6487296600893,"IRIARTE, GRAL.",1955,MECÁNICA,Barracas,Comuna 4,1291,C1291ABM
-58.3862645618467,-34.6505661101898,"IRIARTE, GRAL. AV.",2839,MECÁNICA,Barracas,Comuna 4,1291,C1291ACM
-58.374230048447195,-34.633998685590704,ISABEL LA CATOLICA,174,MECÁNICA,Barracas,Comuna 4,1268,C1268ACD
-58.37160546044851,-34.6475565125892,ISABEL LA CATOLICA,1650,MECÁNICA,Barracas,Comuna 4,1269,C1269ABJ
