"Longitud","Latitud","Calle","Altura","Materiales","Barrio","Comuna","Calle2","Direccion","Tipo"
"-58.50323691423","-34.6451011282978","ALBARIÑO",709,"MECÁNICA","Liniers","Comuna 9","1440.0","C1440DEC","campanas_verdes"
"-58.5005313483305","-34.6473120528974","ALBARIÑO",983,"MECÁNICA","Mataderos","Comuna 9","1440.0","C1440DEG","campanas_verdes"
"-58.4921506912322","-34.6538116852962","ALBARIÑO",1713,"MECÁNICA","Mataderos","Comuna 9","1440.0","C1440DEW","campanas_verdes"
"-58.4898373555326","-34.6555695142959","ALBARIÑO",1931,"MECÁNICA","Mataderos","Comuna 9","1440.0","C1440DFA","campanas_verdes"
"-58.4884604072329","-34.6566937344957","ALBARIÑO",2051,"MECÁNICA","Mataderos","Comuna 9","1440.0","C1440DFC","campanas_verdes"
"-58.4852455947335","-34.6591986346952","ALBARIÑO",2305,"MECÁNICA","Mataderos","Comuna 9","1440.0","C1440DFI","campanas_verdes"
"-58.4829713614339","-34.6609705413949","ALBARIÑO",2525,"MECÁNICA","Villa Lugano","Comuna 8","1439.0","C1439ETA","campanas_verdes"
"-58.4816537146342","-34.6619962122947","ALBARIÑO",2655,"MECÁNICA","Villa Lugano","Comuna 8","1439.0","C1439ETC","campanas_verdes"
"-58.4783332147348","-34.6645854871943","ALBARIÑO",2895,"MECÁNICA","Villa Lugano","Comuna 8","1439.0","C1439ETG","campanas_verdes"
"-58.4734560144358","-34.6683144774936","ALBARIÑO",3344,"MECÁNICA","Villa Lugano","Comuna 8","1439.0","C1439ETR","campanas_verdes"
"-58.4717553346361","-34.6696844992933","ALBARIÑO",3486,"MECÁNICA","Villa Lugano","Comuna 8","1439.0","C1439ETT","campanas_verdes"
"-58.4697955783365","-34.671149221593","ALBARIÑO",3660,"MECÁNICA","Villa Lugano","Comuna 8","1439.0","C1439ETX","campanas_verdes"
"-58.435181702538","-34.6230190438957","ALBERDI, JUAN BAUTISTA AV.",529,"MECÁNICA","Caballito","Comuna 6","1424.0","C1424BYF","campanas_verdes"
"-58.4416664681371","-34.6227680391961","ALBERDI, JUAN BAUTISTA AV.",961,"MECÁNICA","Caballito","Comuna 6","1424.0","C1424BYJ","campanas_verdes"
"-58.4459413259366","-34.6242772647963","ALBERDI, JUAN BAUTISTA AV.",1275,"MECÁNICA","Caballito","Comuna 6","1406.0","C1406GRB","campanas_verdes"
"-58.4483530899363","-34.6255348661963","ALBERDI, JUAN BAUTISTA AV.",1449,"MECÁNICA","Caballito","Comuna 6","1406.0","C1406GRD","campanas_verdes"
"-58.451774780636","-34.6272551719963","ALBERDI, JUAN BAUTISTA AV.",1643,"MECÁNICA","Caballito","Comuna 6","1406.0","C1406GRF","campanas_verdes"
"-58.4558341788355","-34.6293684348964","ALBERDI, JUAN BAUTISTA AV.",1925,"MECÁNICA","Flores","Comuna 7","1406.0","C1406GRI","campanas_verdes"
"-58.4581538374353","-34.6301034279965","ALBERDI, JUAN BAUTISTA AV.",2145,"MECÁNICA","Flores","Comuna 7","1406.0","C1406GRK","campanas_verdes"
"-58.460835182935","-34.6309379714965","ALBERDI, JUAN BAUTISTA AV.",2345,"MECÁNICA","Flores","Comuna 7","1406.0","C1406GRM","campanas_verdes"
"-58.4634948566346","-34.6317405195966","ALBERDI, JUAN BAUTISTA AV.",2525,"MECÁNICA","Flores","Comuna 7","1406.0","C1406GSB","campanas_verdes"
"-58.4670075072342","-34.6328189229968","ALBERDI, JUAN BAUTISTA AV.",2787,"MECÁNICA","Flores","Comuna 7","1406.0","C1406GSD","campanas_verdes"
"-58.4694915820339","-34.6335013928968","ALBERDI, JUAN BAUTISTA AV.",2959,"MECÁNICA","Flores","Comuna 7","1406.0","C1406GSF","campanas_verdes"
"-58.4718158696337","-34.6342263465969","ALBERDI, JUAN BAUTISTA AV.",3141,"MECÁNICA","Flores","Comuna 7","1406.0","C1406GSH","campanas_verdes"
"-58.4739036101334","-34.6351574453969","ALBERDI, JUAN BAUTISTA AV.",3354,"MECÁNICA","Floresta","Comuna 10","1407.0","C1407GZN","campanas_verdes"
"-58.4760355851332","-34.635831568797","ALBERDI, JUAN BAUTISTA AV.",3559,"MECÁNICA","Floresta","Comuna 10","1407.0","C1407GZC","campanas_verdes"
"-58.477850138233","-34.6366027158971","ALBERDI, JUAN BAUTISTA AV.",3743,"MECÁNICA","Floresta","Comuna 10","1407.0","C1407GZE","campanas_verdes"
"-58.4812718788326","-34.6381422756971","ALBERDI, JUAN BAUTISTA AV.",3971,"MECÁNICA","Velez Sarsfield","Comuna 10","1407.0","C1407GZG","campanas_verdes"
"-58.4833879567324","-34.6391168904972","ALBERDI, JUAN BAUTISTA AV.",4117,"MECÁNICA","Velez Sarsfield","Comuna 10","1407.0","C1407GZI","campanas_verdes"
"-58.487287091732","-34.6409531989972","ALBERDI, JUAN BAUTISTA AV.",4367,"MECÁNICA","Velez Sarsfield","Comuna 10","1407.0","C1407GZK","campanas_verdes"
"-58.4919647905315","-34.6431892248973","ALBERDI, JUAN BAUTISTA AV.",4679,"MECÁNICA","Villa Luro","Comuna 10","1407.0","C1407HAA","campanas_verdes"
"-58.4940881878312","-34.6442040293973","ALBERDI, JUAN BAUTISTA AV.",4831,"MECÁNICA","Villa Luro","Comuna 10","1407.0","C1407HAC","campanas_verdes"
