punto;comuna;año;mes;pesaje_avu_litros;long;lat
25 de Agosto;Comuna 15;2018;Febrero;33.8;-58.46258049999999;-34.5801724
Plaza Aristobulo del Valle;Comuna 11;2018;Febrero;0;-58.492932700000004;-34.6055659
Plaza Echeverria;Comuna 13;2018;Febrero;60.1;-58.46350820000001;-34.5675144
Plaza Roque Saez Peña;Comuna 11;2018;Febrero;0;-58.46735409999999;-34.6103114
Plaza Ciudad de Banff;Comuna 10;2018;Febrero;0;-58.52120040000001;-34.6285343
Plaza E. de los Andes;Comuna 10;2018;Febrero;0;-58.5093299;-34.6396627
Plaza Irlanda;Comuna 6;2018;Febrero;47.5;-58.45901240000001;-34.6140108
Plaza de los periodistas;Comuna 7;2018;Febrero;0;-58.47299399999999;-34.621383
Portal Villa 20;Comuna 8;2018;Febrero;104.4;-58.46145689999999;-34.6717503
Plaza Martin Fierro;Comuna 3;2018;Febrero;0;-58.4077429;-34.6259153
Plaza Benito Nazar;Comuna 15;2018;Febrero;10.2;-58.445436;-34.60479
Carrefour Boedo;Comuna 5;2018;Febrero;128.3;-58.420189199999996;-34.630990000000004
Carrefour Urquiza;Comuna 12;2018;Febrero;107.1;-58.494533;-34.5770799
PVMs;Comuna 1;2018;Febrero;0;-58.381559100000004;-34.6036844
APrA Lima 1111;Comuna 1;2018;Febrero;0;-58.38162259999999;-34.6210274
AySA;Comuna 14;2018;Febrero;0;-58.427240299999994;-34.556269799999995
APrA CIFA;Comuna 8;2018;Febrero;104.1;-58.46678000000001;-34.6643133
Plaza Angel Gris;Comuna 7;2018;Febrero;18.5;-58.45666680000001;-34.621976000000004
Polo circo;Comuna 4;2018;Febrero;0;-58.39267699999999;-34.627893
Plaza Belgrano;Comuna 13;2018;Febrero;33.8;-58.454835100000004;-34.56170609999999
Plaza Zapiola;Comuna 12;2018;Febrero;53.3;-58.475251;-34.573592
Plaza Castelli;Comuna 13;2018;Febrero;0;-58.4645953;-34.567494399999994
Plaza Petronilla Rodriguez;Comuna 2;2018;Febrero;9.2;-58.3913904;-34.5988073
Plaza Republica de Perú;Comuna 14;2018;Febrero;7.5;-58.4041672;-34.5765724
FADU/Ciudad universitaria;Comuna 13;2018;Febrero;0;-58.4444116;-34.542131299999994
1.11.14;Comuna 7;2018;Febrero;0;-58.440866899999996;-34.6504076
Plaza El Maestro;Comuna 11;2018;Febrero;0;-58.522521499999996;-34.612714399999994
Plaza nobel;Comuna 15;2018;Febrero;0;-58.48462249999999;-34.588083000000005
PlazaMalaver;Comuna 15;2018;Febrero;0;-58.46737330000001;-34.587841600000004
Plaza Mafalda;Comuna 13;2018;Febrero;0;-58.44561150000001;-34.5806439
Portal villa 31;Comuna 1;2018;Febrero;79.432;-58.3747654;-34.5835993
Plaza nueva pompeya;Comuna 4;2018;Febrero;0;-58.41578369999999;-34.6519634
Plaza martin rodriguez;Comuna 12;2018;Febrero;0;-58.5012176;-34.59093920000001
Parque Alberdi;Comuna 9;2018;Febrero;59.3;-58.5023405;-34.6606883
Portal Varela;Comuna 7;2018;Febrero;0;-58.4469004;-34.64895739999999
AySA Tucumán;Comuna 1;2018;Febrero;0;-58.37749640000001;-34.6012104
Comedores Sociales;Comuna 8;2018;Febrero;0;-58.46733670000001;-34.6757847
Portal Soldati;Comuna 8;2018;Febrero;32.5;-58.4558059;-34.6643982
Plaza Güemes;Comuna 14;2018;Marzo;102.9;-58.4174406;-34.586063
Parque Centenario;Comuna 6;2018;Marzo;82.4;-58.43495559999999;-34.606830200000005
Plaza Sudamerica;Comuna 4;2018;Marzo;0;-58.39473950000001;-34.652745700000004
Plaza Arenales;Comuna 11;2018;Marzo;99.4;-58.5122799;-34.5993652
Parque Chacabuco;Comuna 7;2018;Marzo;43.2;-58.43288159999999;-34.6340618
Parque Los Andes;Comuna 15;2018;Marzo;0;-58.450456300000006;-34.5898603
Plaza Boedo;Comuna 5;2018;Marzo;86.7;-58.41283499999999;-34.622518
Plaza M. Andrea;Comuna 2;2018;Marzo;28.3;-58.40720749999999;-34.5974235
Plaza 1ro de mayo;Comuna 3;2018;Marzo;0;-58.3981627;-34.611239399999995
Parque Saavedra;Comuna 12;2018;Marzo;59.3;-58.47981559999999;-34.550819
Plaza Colombia;Comuna 4;2018;Marzo;94.3;-58.374206900000004;-34.637393700000004
Plaza Don Bosco;Comuna 10;2018;Marzo;35.1;-58.50841080000001;-34.6260491
Parque Santojanni;Comuna 9;2018;Marzo;0;-58.51330829999999;-34.6463729
Plaza San Marrin;Comuna 1;2018;Marzo;0;-58.37700689999999;-34.5942846
Plaza E. Mitre;Comuna 2;2018;Marzo;30.2;-58.39723710000001;-34.5881755
Plaza Almagro;Comuna 5;2018;Marzo;41.5;-58.4193674;-34.605718200000005
Plaza Pueyrredon;Comuna 7;2018;Marzo;54.1;-58.46353149999999;-34.6285889
Plaza Alem;Comuna 12;2018;Marzo;63.3;-58.37072120000001;-34.6003162
Plaza Balcarce;Comuna 13;2018;Marzo;42.2;-58.4685048;-34.547445
Palermo Viejo - Armenia;Comuna 14;2018;Marzo;19.2;-58.425260200000004;-34.5887745
Rivadavia;Comuna 6;2018;Marzo;22.5;-58.4506646;-34.6243051
Avellaneda;Comuna 9;2018;Marzo;0;-58.3669739;-34.6610756
Velez Sarfield;Comuna 10;2018;Marzo;28;-58.49234930000001;-34.6314852
Ibarra;Comuna 3;2018;Marzo;44.1;-58.403515799999994;-34.617202
Puerto madero;Comuna 1;2018;Marzo;0;-58.3620561;-34.6177194
Parque patricios;Comuna 4;2018;Marzo;0;-58.4005296;-34.6362534
Plaza Rosario Vera Peñaloza;Comuna 1;2018;Marzo;3.8;-58.3757713;-34.6221636
Plaza Vea;Comuna 4;2018;Marzo;7.8;-58.3777027;-34.638518
25 de Agosto;Comuna 15;2018;Marzo;18.9;-58.46258049999999;-34.5801724
Plaza Aristobulo del Valle;Comuna 11;2018;Marzo;51;-58.492932700000004;-34.6055659
Plaza Echeverria;Comuna 13;2018;Marzo;12.5;-58.46350820000001;-34.5675144
Plaza Roque Saez Peña;Comuna 11;2018;Marzo;17.5;-58.46735409999999;-34.6103114
Plaza Ciudad de Banff;Comuna 10;2018;Marzo;0;-58.52120040000001;-34.6285343
Plaza E. de los Andes;Comuna 10;2018;Marzo;0;-58.5093299;-34.6396627
Plaza Irlanda;Comuna 6;2018;Marzo;0;-58.45901240000001;-34.6140108
Plaza de los periodistas;Comuna 7;2018;Marzo;0;-58.47299399999999;-34.621383
Portal Villa 20;Comuna 8;2018;Marzo;0;-58.46145689999999;-34.6717503
Plaza Martin Fierro;Comuna 3;2018;Marzo;33.7;-58.4077429;-34.6259153
Plaza Benito Nazar;Comuna 15;2018;Marzo;23.5;-58.445436;-34.60479
Carrefour Boedo;Comuna 5;2018;Marzo;171.7;-58.420189199999996;-34.630990000000004
Carrefour Urquiza;Comuna 12;2018;Marzo;134;-58.494533;-34.5770799
PVMs;Comuna 1;2018;Marzo;0;-58.381559100000004;-34.6036844
APrA Lima 1111;Comuna 1;2018;Marzo;36.3;-58.38162259999999;-34.6210274
AySA;Comuna 14;2018;Marzo;0;-58.427240299999994;-34.556269799999995
APrA CIFA;Comuna 8;2018;Marzo;0;-58.46678000000001;-34.6643133
Plaza Angel Gris;Comuna 7;2018;Marzo;39.4;-58.45666680000001;-34.621976000000004
Polo circo;Comuna 4;2018;Marzo;15.5;-58.39267699999999;-34.627893
Plaza Belgrano;Comuna 13;2018;Marzo;7.3;-58.454835100000004;-34.56170609999999
Plaza Zapiola;Comuna 12;2018;Marzo;0;-58.475251;-34.573592
Plaza Castelli;Comuna 13;2018;Marzo;51.8;-58.4645953;-34.567494399999994
Plaza Petronilla Rodriguez;Comuna 2;2018;Marzo;31.5;-58.3913904;-34.5988073
Plaza Republica de Perú;Comuna 14;2018;Marzo;19.1;-58.4041672;-34.5765724
FADU/Ciudad universitaria;Comuna 13;2018;Marzo;0;-58.4444116;-34.542131299999994
1.11.14;Comuna 7;2018;Marzo;0;-58.440866899999996;-34.6504076
Plaza El Maestro;Comuna 11;2018;Marzo;20.8;-58.522521499999996;-34.612714399999994
Plaza nobel;Comuna 15;2018;Marzo;19.2;-58.48462249999999;-34.588083000000005
PlazaMalaver;Comuna 15;2018;Marzo;0;-58.46737330000001;-34.587841600000004
Plaza Mafalda;Comuna 13;2018;Marzo;35.5;-58.44561150000001;-34.5806439
Portal villa 31;Comuna 1;2018;Marzo;0;-58.3747654;-34.5835993
Plaza nueva pompeya;Comuna 4;2018;Marzo;0;-58.41578369999999;-34.6519634
Plaza martin rodriguez;Comuna 12;2018;Marzo;18.5;-58.5012176;-34.59093920000001
Parque Alberdi;Comuna 9;2018;Marzo;34.3;-58.5023405;-34.6606883
Portal Varela;Comuna 7;2018;Marzo;0;-58.4469004;-34.64895739999999
AySA Tucumán;Comuna 1;2018;Marzo;0;-58.37749640000001;-34.6012104
Comedores Sociales;Comuna 8;2018;Marzo;0;-58.46733670000001;-34.6757847
Portal Soldati;Comuna 8;2018;Marzo;0;-58.4558059;-34.6643982
Plaza Güemes;Comuna 14;2018;Abril;66.1;-58.4174406;-34.586063
Parque Centenario;Comuna 6;2018;Abril;72.8;-58.43495559999999;-34.606830200000005
Plaza Sudamerica;Comuna 4;2018;Abril;34.5;-58.39473950000001;-34.652745700000004
Plaza Arenales;Comuna 11;2018;Abril;93.4;-58.5122799;-34.5993652
Parque Chacabuco;Comuna 7;2018;Abril;51.2;-58.43288159999999;-34.6340618
Parque Los Andes;Comuna 15;2018;Abril;0;-58.450456300000006;-34.5898603
Plaza Boedo;Comuna 5;2018;Abril;64.2;-58.41283499999999;-34.622518
Plaza M. Andrea;Comuna 2;2018;Abril;66.4;-58.40720749999999;-34.5974235
Plaza 1ro de mayo;Comuna 3;2018;Abril;28.4;-58.3981627;-34.611239399999995
Parque Saavedra;Comuna 12;2018;Abril;80.7;-58.47981559999999;-34.550819
Plaza Colombia;Comuna 4;2018;Abril;53.5;-58.374206900000004;-34.637393700000004
Plaza Don Bosco;Comuna 10;2018;Abril;31.8;-58.50841080000001;-34.6260491
Parque Santojanni;Comuna 9;2018;Abril;0;-58.51330829999999;-34.6463729
Plaza San Marrin;Comuna 1;2018;Abril;0;-58.37700689999999;-34.5942846
Plaza E. Mitre;Comuna 2;2018;Abril;0;-58.39723710000001;-34.5881755
Plaza Almagro;Comuna 5;2018;Abril;80.8;-58.4193674;-34.605718200000005
Plaza Pueyrredon;Comuna 7;2018;Abril;29.1;-58.46353149999999;-34.6285889
Plaza Alem;Comuna 12;2018;Abril;28.5;-58.37072120000001;-34.6003162
Plaza Balcarce;Comuna 13;2018;Abril;25.9;-58.4685048;-34.547445
Palermo Viejo - Armenia;Comuna 14;2018;Abril;19.3;-58.425260200000004;-34.5887745
Rivadavia;Comuna 6;2018;Abril;18.3;-58.4506646;-34.6243051
Avellaneda;Comuna 9;2018;Abril;38.3;-58.3669739;-34.6610756
Velez Sarfield;Comuna 10;2018;Abril;27.3;-58.49234930000001;-34.6314852
Ibarra;Comuna 3;2018;Abril;0;-58.403515799999994;-34.617202
Puerto madero;Comuna 1;2018;Abril;21.5;-58.3620561;-34.6177194
Parque patricios;Comuna 4;2018;Abril;0;-58.4005296;-34.6362534
Plaza Rosario Vera Peñaloza;Comuna 1;2018;Abril;48.8;-58.3757713;-34.6221636
Plaza Vea;Comuna 4;2018;Abril;0;-58.3777027;-34.638518
25 de Agosto;Comuna 15;2018;Abril;12.5;-58.46258049999999;-34.5801724
Plaza Aristobulo del Valle;Comuna 11;2018;Abril;25.5;-58.492932700000004;-34.6055659
Plaza Echeverria;Comuna 13;2018;Abril;0;-58.46350820000001;-34.5675144
Plaza Roque Saez Peña;Comuna 11;2018;Abril;0;-58.46735409999999;-34.6103114
Plaza Ciudad de Banff;Comuna 10;2018;Abril;32.5;-58.52120040000001;-34.6285343
Plaza E. de los Andes;Comuna 10;2018;Abril;0;-58.5093299;-34.6396627
Plaza Irlanda;Comuna 6;2018;Abril;42.5;-58.45901240000001;-34.6140108
Plaza de los periodistas;Comuna 7;2018;Abril;19.2;-58.47299399999999;-34.621383
Portal Villa 20;Comuna 8;2018;Abril;194.7;-58.46145689999999;-34.6717503
Plaza Martin Fierro;Comuna 3;2018;Abril;7.8;-58.4077429;-34.6259153
Plaza Benito Nazar;Comuna 15;2018;Abril;19.3;-58.445436;-34.60479
Carrefour Boedo;Comuna 5;2018;Abril;160.6;-58.420189199999996;-34.630990000000004
Carrefour Urquiza;Comuna 12;2018;Abril;129.7;-58.494533;-34.5770799
PVMs;Comuna 1;2018;Abril;48.9;-58.381559100000004;-34.6036844
APrA Lima 1111;Comuna 1;2018;Abril;0;-58.38162259999999;-34.6210274
AySA;Comuna 14;2018;Abril;0;-58.427240299999994;-34.556269799999995
APrA CIFA;Comuna 8;2018;Abril;12.3;-58.46678000000001;-34.6643133
Plaza Angel Gris;Comuna 7;2018;Abril;14.5;-58.45666680000001;-34.621976000000004
Polo circo;Comuna 4;2018;Abril;35.3;-58.39267699999999;-34.627893
Plaza Belgrano;Comuna 13;2018;Abril;25.9;-58.454835100000004;-34.56170609999999
Plaza Zapiola;Comuna 12;2018;Abril;15.3;-58.475251;-34.573592
Plaza Castelli;Comuna 13;2018;Abril;0;-58.4645953;-34.567494399999994
Plaza Petronilla Rodriguez;Comuna 2;2018;Abril;0;-58.3913904;-34.5988073
Plaza Republica de Perú;Comuna 14;2018;Abril;0;-58.4041672;-34.5765724
FADU/Ciudad universitaria;Comuna 13;2018;Abril;0;-58.4444116;-34.542131299999994
1.11.14;Comuna 7;2018;Abril;0;-58.440866899999996;-34.6504076
Plaza El Maestro;Comuna 11;2018;Abril;0;-58.522521499999996;-34.612714399999994
Plaza nobel;Comuna 15;2018;Abril;0;-58.48462249999999;-34.588083000000005
PlazaMalaver;Comuna 15;2018;Abril;0;-58.46737330000001;-34.587841600000004
Plaza Mafalda;Comuna 13;2018;Abril;35.8;-58.44561150000001;-34.5806439
Portal villa 31;Comuna 1;2018;Abril;0;-58.3747654;-34.5835993
Plaza nueva pompeya;Comuna 4;2018;Abril;0;-58.41578369999999;-34.6519634
Plaza martin rodriguez;Comuna 12;2018;Abril;0;-58.5012176;-34.59093920000001
Parque Alberdi;Comuna 9;2018;Abril;14.1;-58.5023405;-34.6606883
Portal Varela;Comuna 7;2018;Abril;0;-58.4469004;-34.64895739999999
AySA Tucumán;Comuna 1;2018;Abril;0;-58.37749640000001;-34.6012104
Comedores Sociales;Comuna 8;2018;Abril;0;-58.46733670000001;-34.6757847
Portal Soldati;Comuna 8;2018;Abril;63.182;-58.4558059;-34.6643982
Portal Cildañez;Comuna 9;2018;Abril;57.5;-58.47084569999999;-34.65624260000001
Plaza Güemes;Comuna 14;2018;Mayo;76.9;-58.4174406;-34.586063
Parque Centenario;Comuna 6;2018;Mayo;164.2;-58.43495559999999;-34.606830200000005
Plaza Sudamerica;Comuna 4;2018;Mayo;23.8;-58.39473950000001;-34.652745700000004
Plaza Arenales;Comuna 11;2018;Mayo;191;-58.5122799;-34.5993652
Parque Chacabuco;Comuna 7;2018;Mayo;35.8;-58.43288159999999;-34.6340618
Parque Los Andes;Comuna 15;2018;Mayo;0;-58.450456300000006;-34.5898603
Plaza Boedo;Comuna 5;2018;Mayo;38.5;-58.41283499999999;-34.622518
Plaza M. Andrea;Comuna 2;2018;Mayo;48.2;-58.40720749999999;-34.5974235
Plaza 1ro de mayo;Comuna 3;2018;Mayo;62.3;-58.3981627;-34.611239399999995
Parque Saavedra;Comuna 12;2018;Mayo;79.2;-58.47981559999999;-34.550819
Plaza Colombia;Comuna 4;2018;Mayo;51;-58.374206900000004;-34.637393700000004
Plaza Don Bosco;Comuna 10;2018;Mayo;47.9;-58.50841080000001;-34.6260491
Parque Santojanni;Comuna 9;2018;Mayo;23.4;-58.51330829999999;-34.6463729
Plaza San Marrin;Comuna 1;2018;Mayo;0;-58.37700689999999;-34.5942846
Plaza E. Mitre;Comuna 2;2018;Mayo;45.3;-58.39723710000001;-34.5881755
Plaza Almagro;Comuna 5;2018;Mayo;38.4;-58.4193674;-34.605718200000005
Plaza Pueyrredon;Comuna 7;2018;Mayo;22.5;-58.46353149999999;-34.6285889
Plaza Alem;Comuna 12;2018;Mayo;43.1;-58.37072120000001;-34.6003162
Plaza Balcarce;Comuna 13;2018;Mayo;94.3;-58.4685048;-34.547445
Palermo Viejo - Armenia;Comuna 14;2018;Mayo;77.4;-58.425260200000004;-34.5887745
Rivadavia;Comuna 6;2018;Mayo;71.6;-58.4506646;-34.6243051
Avellaneda;Comuna 9;2018;Mayo;38.1;-58.3669739;-34.6610756
Velez Sarfield;Comuna 10;2018;Mayo;41.9;-58.49234930000001;-34.6314852
Ibarra;Comuna 3;2018;Mayo;18.1;-58.403515799999994;-34.617202
Puerto madero;Comuna 1;2018;Mayo;0;-58.3620561;-34.6177194
Parque patricios;Comuna 4;2018;Mayo;0;-58.4005296;-34.6362534
Plaza Rosario Vera Peñaloza;Comuna 1;2018;Mayo;22.3;-58.3757713;-34.6221636
Plaza Vea;Comuna 4;2018;Mayo;0;-58.3777027;-34.638518
25 de Agosto;Comuna 15;2018;Mayo;27.5;-58.46258049999999;-34.5801724
Plaza Aristobulo del Valle;Comuna 11;2018;Mayo;62.3;-58.492932700000004;-34.6055659
Plaza Echeverria;Comuna 13;2018;Mayo;32.4;-58.46350820000001;-34.5675144
Plaza Roque Saez Peña;Comuna 11;2018;Mayo;0;-58.46735409999999;-34.6103114
Plaza Ciudad de Banff;Comuna 10;2018;Mayo;0;-58.52120040000001;-34.6285343
Plaza E. de los Andes;Comuna 10;2018;Mayo;0;-58.5093299;-34.6396627
Plaza Irlanda;Comuna 6;2018;Mayo;38.5;-58.45901240000001;-34.6140108
Plaza de los periodistas;Comuna 7;2018;Mayo;0;-58.47299399999999;-34.621383
Portal Villa 20;Comuna 8;2018;Mayo;41.9;-58.46145689999999;-34.6717503
Plaza Martin Fierro;Comuna 3;2018;Mayo;22.3;-58.4077429;-34.6259153
Plaza Benito Nazar;Comuna 15;2018;Mayo;13.4;-58.445436;-34.60479
Carrefour Boedo;Comuna 5;2018;Mayo;209.8;-58.420189199999996;-34.630990000000004
Carrefour Urquiza;Comuna 12;2018;Mayo;134.8;-58.494533;-34.5770799
PVMs;Comuna 1;2018;Mayo;18;-58.381559100000004;-34.6036844
APrA Lima 1111;Comuna 1;2018;Mayo;45.8;-58.38162259999999;-34.6210274
AySA;Comuna 14;2018;Mayo;162;-58.427240299999994;-34.556269799999995
APrA CIFA;Comuna 8;2018;Mayo;76.2;-58.46678000000001;-34.6643133
Plaza Angel Gris;Comuna 7;2018;Mayo;19.1;-58.45666680000001;-34.621976000000004
Polo circo;Comuna 4;2018;Mayo;0;-58.39267699999999;-34.627893
Plaza Belgrano;Comuna 13;2018;Mayo;38.4;-58.454835100000004;-34.56170609999999
Plaza Zapiola;Comuna 12;2018;Mayo;25.3;-58.475251;-34.573592
Plaza Castelli;Comuna 13;2018;Mayo;0;-58.4645953;-34.567494399999994
Plaza Petronilla Rodriguez;Comuna 2;2018;Mayo;33.3;-58.3913904;-34.5988073
Plaza Republica de Perú;Comuna 14;2018;Mayo;25.9;-58.4041672;-34.5765724
FADU/Ciudad universitaria;Comuna 13;2018;Mayo;0;-58.4444116;-34.542131299999994
1.11.14;Comuna 7;2018;Mayo;0;-58.440866899999996;-34.6504076
Plaza El Maestro;Comuna 11;2018;Mayo;0;-58.522521499999996;-34.612714399999994
Plaza nobel;Comuna 15;2018;Mayo;23.4;-58.48462249999999;-34.588083000000005
PlazaMalaver;Comuna 15;2018;Mayo;0;-58.46737330000001;-34.587841600000004
Plaza Mafalda;Comuna 13;2018;Mayo;77.2;-58.44561150000001;-34.5806439
Portal villa 31;Comuna 1;2018;Mayo;33.864;-58.3747654;-34.5835993
Plaza nueva pompeya;Comuna 4;2018;Mayo;24.9;-58.41578369999999;-34.6519634
Plaza martin rodriguez;Comuna 12;2018;Mayo;28.5;-58.5012176;-34.59093920000001
Parque Alberdi;Comuna 9;2018;Mayo;19.6;-58.5023405;-34.6606883
Portal Varela;Comuna 7;2018;Mayo;0;-58.4469004;-34.64895739999999
AySA Tucumán;Comuna 1;2018;Mayo;0;-58.37749640000001;-34.6012104
Comedores Sociales;Comuna 8;2018;Mayo;24.318;-58.46733670000001;-34.6757847
Portal Soldati;Comuna 8;2018;Mayo;32.386;-58.4558059;-34.6643982
Portal Cildañez;Comuna 9;2018;Mayo;0;-58.47084569999999;-34.65624260000001
Oficina sechi (soldati);Comuna 7;2018;Mayo;238.523;-58.433763;-34.628817
Plaza Güemes;Comuna 14;2018;Junio;115.9;-58.4174406;-34.586063
Parque Centenario;Comuna 6;2018;Junio;74;-58.43495559999999;-34.606830200000005
Plaza Sudamerica;Comuna 4;2018;Junio;0;-58.39473950000001;-34.652745700000004
Plaza Arenales;Comuna 11;2018;Junio;97.4;-58.5122799;-34.5993652
Parque Chacabuco;Comuna 7;2018;Junio;19.9;-58.43288159999999;-34.6340618
Parque Los Andes;Comuna 15;2018;Junio;0;-58.450456300000006;-34.5898603
Plaza Boedo;Comuna 5;2018;Junio;19.8;-58.41283499999999;-34.622518
Plaza M. Andrea;Comuna 2;2018;Junio;28.9;-58.40720749999999;-34.5974235
Plaza 1ro de mayo;Comuna 3;2018;Junio;72.2;-58.3981627;-34.611239399999995
Parque Saavedra;Comuna 12;2018;Junio;84.1;-58.47981559999999;-34.550819
Plaza Colombia;Comuna 4;2018;Junio;40.5;-58.374206900000004;-34.637393700000004
Plaza Don Bosco;Comuna 10;2018;Junio;0;-58.50841080000001;-34.6260491
Parque Santojanni;Comuna 9;2018;Junio;42.5;-58.51330829999999;-34.6463729
Plaza San Marrin;Comuna 1;2018;Junio;0;-58.37700689999999;-34.5942846
Plaza E. Mitre;Comuna 2;2018;Junio;33.2;-58.39723710000001;-34.5881755
Plaza Almagro;Comuna 5;2018;Junio;45.9;-58.4193674;-34.605718200000005
Plaza Pueyrredon;Comuna 7;2018;Junio;0;-58.46353149999999;-34.6285889
Plaza Alem;Comuna 12;2018;Junio;0;-58.37072120000001;-34.6003162
Plaza Balcarce;Comuna 13;2018;Junio;39.2;-58.4685048;-34.547445
Palermo Viejo - Armenia;Comuna 14;2018;Junio;19.9;-58.425260200000004;-34.5887745
Rivadavia;Comuna 6;2018;Junio;39.5;-58.4506646;-34.6243051
Avellaneda;Comuna 9;2018;Junio;0;-58.3669739;-34.6610756
Velez Sarfield;Comuna 10;2018;Junio;0;-58.49234930000001;-34.6314852
Ibarra;Comuna 3;2018;Junio;0;-58.403515799999994;-34.617202
Puerto madero;Comuna 1;2018;Junio;0;-58.3620561;-34.6177194
Parque patricios;Comuna 4;2018;Junio;0;-58.4005296;-34.6362534
Plaza Rosario Vera Peñaloza;Comuna 1;2018;Junio;41.3;-58.3757713;-34.6221636
Plaza Vea;Comuna 4;2018;Junio;39.5;-58.3777027;-34.638518
25 de Agosto;Comuna 15;2018;Junio;0;-58.46258049999999;-34.5801724
Plaza Aristobulo del Valle;Comuna 11;2018;Junio;0;-58.492932700000004;-34.6055659
Plaza Echeverria;Comuna 13;2018;Junio;34.9;-58.46350820000001;-34.5675144
Plaza Roque Saez Peña;Comuna 11;2018;Junio;19.4;-58.46735409999999;-34.6103114
Plaza Ciudad de Banff;Comuna 10;2018;Junio;0;-58.52120040000001;-34.6285343
Plaza E. de los Andes;Comuna 10;2018;Junio;0;-58.5093299;-34.6396627
Plaza Irlanda;Comuna 6;2018;Junio;50.1;-58.45901240000001;-34.6140108
Plaza de los periodistas;Comuna 7;2018;Junio;25.6;-58.47299399999999;-34.621383
Portal Villa 20;Comuna 8;2018;Junio;90.7;-58.46145689999999;-34.6717503
Plaza Martin Fierro;Comuna 3;2018;Junio;8.9;-58.4077429;-34.6259153
Plaza Benito Nazar;Comuna 15;2018;Junio;42.9;-58.445436;-34.60479
Carrefour Boedo;Comuna 5;2018;Junio;151;-58.420189199999996;-34.630990000000004
Carrefour Urquiza;Comuna 12;2018;Junio;120.7;-58.494533;-34.5770799
PVMs;Comuna 1;2018;Junio;192.5;-58.381559100000004;-34.6036844
APrA Lima 1111;Comuna 1;2018;Junio;14.1;-58.38162259999999;-34.6210274
AySA;Comuna 14;2018;Junio;0;-58.427240299999994;-34.556269799999995
APrA CIFA;Comuna 8;2018;Junio;2.5;-58.46678000000001;-34.6643133
Plaza Angel Gris;Comuna 7;2018;Junio;0;-58.45666680000001;-34.621976000000004
Polo circo;Comuna 4;2018;Junio;18.8;-58.39267699999999;-34.627893
Plaza Belgrano;Comuna 13;2018;Junio;85.2;-58.454835100000004;-34.56170609999999
Plaza Zapiola;Comuna 12;2018;Junio;24.9;-58.475251;-34.573592
Plaza Castelli;Comuna 13;2018;Junio;33.5;-58.4645953;-34.567494399999994
Plaza Petronilla Rodriguez;Comuna 2;2018;Junio;75.8;-58.3913904;-34.5988073
Plaza Republica de Perú;Comuna 14;2018;Junio;17.3;-58.4041672;-34.5765724
FADU/Ciudad universitaria;Comuna 13;2018;Junio;0;-58.4444116;-34.542131299999994
1.11.14;Comuna 7;2018;Junio;0;-58.440866899999996;-34.6504076
Plaza El Maestro;Comuna 11;2018;Junio;0;-58.522521499999996;-34.612714399999994
Plaza nobel;Comuna 15;2018;Junio;0;-58.48462249999999;-34.588083000000005
PlazaMalaver;Comuna 15;2018;Junio;0;-58.46737330000001;-34.587841600000004
Plaza Mafalda;Comuna 13;2018;Junio;0;-58.44561150000001;-34.5806439
Portal villa 31;Comuna 1;2018;Junio;0;-58.3747654;-34.5835993
Plaza nueva pompeya;Comuna 4;2018;Junio;0;-58.41578369999999;-34.6519634
Plaza martin rodriguez;Comuna 12;2018;Junio;0;-58.5012176;-34.59093920000001
Parque Alberdi;Comuna 9;2018;Junio;43.5;-58.5023405;-34.6606883
Portal Varela;Comuna 7;2018;Junio;0;-58.4469004;-34.64895739999999
AySA Tucumán;Comuna 1;2018;Junio;0;-58.37749640000001;-34.6012104
Comedores Sociales;Comuna 8;2018;Junio;0;-58.46733670000001;-34.6757847
Portal Soldati;Comuna 8;2018;Junio;0;-58.4558059;-34.6643982
Portal Cildañez;Comuna 9;2018;Junio;0;-58.47084569999999;-34.65624260000001
Oficina sechi (soldati);Comuna 7;2018;Junio;196.364;-58.433763;-34.628817
sede comunal 14;Comuna 14;2018;Junio;13.523;-58.40933589999999;-34.58723630000001
Plaza las Toscaneras;Comuna 10;2018;Junio;15.455;-58.52535669999999;-34.616482299999994
Plaza Sargento Cabral;Comuna 3;2018;Junio;18.295;-58.403515799999994;-34.617202
Plaza Domingo Olivera;Comuna 9;2018;Junio;45.455;-58.48444620000001;-34.6473795
Plaza Las Heras;Comuna 14;2018;Junio;13.182;-58.4052666;-34.58342929999999
Plaza Güemes;Comuna 14;2018;Julio;50.5;-58.4174406;-34.586063
Parque Centenario;Comuna 6;2018;Julio;108.7;-58.43495559999999;-34.606830200000005
Plaza Sudamerica;Comuna 4;2018;Julio;45.2;-58.39473950000001;-34.652745700000004
Plaza Arenales;Comuna 11;2018;Julio;196.6;-58.5122799;-34.5993652
Parque Chacabuco;Comuna 7;2018;Julio;22.1;-58.43288159999999;-34.6340618
Parque Los Andes;Comuna 15;2018;Julio;0;-58.450456300000006;-34.5898603
Plaza Boedo;Comuna 5;2018;Julio;41.1;-58.41283499999999;-34.622518
Plaza M. Andrea;Comuna 2;2018;Julio;45.8;-58.40720749999999;-34.5974235
Plaza 1ro de mayo;Comuna 3;2018;Julio;0;-58.3981627;-34.611239399999995
Parque Saavedra;Comuna 12;2018;Julio;130.9;-58.47981559999999;-34.550819
Plaza Colombia;Comuna 4;2018;Julio;43;-58.374206900000004;-34.637393700000004
