punto;comuna;año;mes;pesaje_avu_litros;long;lat
Plaza Balcarce;Comuna 13;2017;Mayo;20;-58.4685048;-34.547445
Palermo Viejo - Armenia;Comuna 14;2017;Mayo;22.1;-58.425260200000004;-34.5887745
Rivadavia;Comuna 6;2017;Mayo;0;-58.4506646;-34.6243051
Avellaneda;Comuna 9;2017;Mayo;129.5;-58.3669739;-34.6610756
Velez Sarfield;Comuna 10;2017;Mayo;28.3;-58.49234930000001;-34.6314852
Ibarra;Comuna 3;2017;Mayo;9.2;-58.403515799999994;-34.617202
Puerto madero;Comuna 1;2017;Mayo;7.3;-58.3620561;-34.6177194
Parque patricios;Comuna 4;2017;Mayo;20.8;-58.4005296;-34.6362534
Plaza Rosario Vera Peñaloza;Comuna 1;2017;Mayo;11.1;-58.3757713;-34.6221636
Plaza Vea;Comuna 4;2017;Mayo;0;-58.3777027;-34.638518
25 de Agosto;Comuna 15;2017;Mayo;0;-58.46258049999999;-34.5801724
Plaza Aristobulo del Valle;Comuna 11;2017;Mayo;10.2;-58.492932700000004;-34.6055659
Plaza Echeverria;Comuna 13;2017;Mayo;7.2;-58.46350820000001;-34.5675144
Plaza Roque Saez Peña;Comuna 11;2017;Mayo;2.5;-58.46735409999999;-34.6103114
Plaza Ciudad de Banff;Comuna 10;2017;Mayo;0;-58.52120040000001;-34.6285343
Plaza E. de los Andes;Comuna 10;2017;Mayo;20.1;-58.5093299;-34.6396627
Plaza Irlanda;Comuna 6;2017;Mayo;5.8;-58.45901240000001;-34.6140108
Plaza de los periodistas;Comuna 7;2017;Mayo;14.6;-58.47299399999999;-34.621383
Portal Villa 20;Comuna 8;2017;Mayo;30.7;-58.46145689999999;-34.6717503
Plaza Martin Fierro;Comuna 3;2017;Mayo;0;-58.4077429;-34.6259153
Plaza Güemes;Comuna 14;2017;Junio;98.5;-58.4174406;-34.586063
Parque Centenario;Comuna 6;2017;Junio;94.6;-58.43495559999999;-34.606830200000005
Plaza Sudamerica;Comuna 4;2017;Junio;33.1;-58.39473950000001;-34.652745700000004
Plaza Arenales;Comuna 11;2017;Junio;106.5;-58.5122799;-34.5993652
Parque Chacabuco;Comuna 7;2017;Junio;42.8;-58.43288159999999;-34.6340618
Parque Los Andes;Comuna 15;2017;Junio;0;-58.450456300000006;-34.5898603
Plaza Boedo;Comuna 5;2017;Junio;82.3;-58.41283499999999;-34.622518
Plaza M. Andrea;Comuna 2;2017;Junio;40.5;-58.40720749999999;-34.5974235
Plaza 1ro de mayo;Comuna 3;2017;Junio;63.5;-58.3981627;-34.611239399999995
Parque Saavedra;Comuna 12;2017;Junio;137.2;-58.47981559999999;-34.550819
Plaza Colombia;Comuna 4;2017;Junio;75.8;-58.374206900000004;-34.637393700000004
Plaza Don Bosco;Comuna 10;2017;Junio;55.6;-58.50841080000001;-34.6260491
Parque Santojanni;Comuna 9;2017;Junio;0;-58.51330829999999;-34.6463729
Plaza San Marrin;Comuna 1;2017;Junio;0;-58.37700689999999;-34.5942846
Plaza E. Mitre;Comuna 2;2017;Junio;0;-58.39723710000001;-34.5881755
Plaza Almagro;Comuna 5;2017;Junio;67.2;-58.4193674;-34.605718200000005
Plaza Pueyrredon;Comuna 7;2017;Junio;0;-58.46353149999999;-34.6285889
Plaza Alem;Comuna 12;2017;Junio;71.2;-58.37072120000001;-34.6003162
Plaza Balcarce;Comuna 13;2017;Junio;58.3;-58.4685048;-34.547445
Palermo Viejo - Armenia;Comuna 14;2017;Junio;10.2;-58.425260200000004;-34.5887745
Rivadavia;Comuna 6;2017;Junio;0;-58.4506646;-34.6243051
Avellaneda;Comuna 9;2017;Junio;0;-58.3669739;-34.6610756
Velez Sarfield;Comuna 10;2017;Junio;0;-58.49234930000001;-34.6314852
Ibarra;Comuna 3;2017;Junio;0;-58.403515799999994;-34.617202
Puerto madero;Comuna 1;2017;Junio;2.5;-58.3620561;-34.6177194
Parque patricios;Comuna 4;2017;Junio;0;-58.4005296;-34.6362534
Plaza Rosario Vera Peñaloza;Comuna 1;2017;Junio;56.1;-58.3757713;-34.6221636
Plaza Vea;Comuna 4;2017;Junio;0;-58.3777027;-34.638518
25 de Agosto;Comuna 15;2017;Junio;48.4;-58.46258049999999;-34.5801724
Plaza Aristobulo del Valle;Comuna 11;2017;Junio;0;-58.492932700000004;-34.6055659
Plaza Echeverria;Comuna 13;2017;Junio;72.1;-58.46350820000001;-34.5675144
Plaza Roque Saez Peña;Comuna 11;2017;Junio;0;-58.46735409999999;-34.6103114
Plaza Ciudad de Banff;Comuna 10;2017;Junio;20.1;-58.52120040000001;-34.6285343
Plaza E. de los Andes;Comuna 10;2017;Junio;45.8;-58.5093299;-34.6396627
Plaza Irlanda;Comuna 6;2017;Junio;0;-58.45901240000001;-34.6140108
Plaza de los periodistas;Comuna 7;2017;Junio;8.5;-58.47299399999999;-34.621383
Portal Villa 20;Comuna 8;2017;Junio;0;-58.46145689999999;-34.6717503
Plaza Martin Fierro;Comuna 3;2017;Junio;22.8;-58.4077429;-34.6259153
Plaza Güemes;Comuna 14;2017;Julio;77;-58.4174406;-34.586063
Parque Centenario;Comuna 6;2017;Julio;131.2;-58.43495559999999;-34.606830200000005
Plaza Sudamerica;Comuna 4;2017;Julio;10.3;-58.39473950000001;-34.652745700000004
Plaza Arenales;Comuna 11;2017;Julio;133.8;-58.5122799;-34.5993652
Parque Chacabuco;Comuna 7;2017;Julio;35.9;-58.43288159999999;-34.6340618
Parque Los Andes;Comuna 15;2017;Julio;38.3;-58.450456300000006;-34.5898603
Plaza Boedo;Comuna 5;2017;Julio;29.3;-58.41283499999999;-34.622518
Plaza M. Andrea;Comuna 2;2017;Julio;52.3;-58.40720749999999;-34.5974235
Plaza 1ro de mayo;Comuna 3;2017;Julio;0;-58.3981627;-34.611239399999995
Parque Saavedra;Comuna 12;2017;Julio;52.8;-58.47981559999999;-34.550819
Plaza Colombia;Comuna 4;2017;Julio;48.1;-58.374206900000004;-34.637393700000004
Plaza Don Bosco;Comuna 10;2017;Julio;138.7;-58.50841080000001;-34.6260491
Parque Santojanni;Comuna 9;2017;Julio;0;-58.51330829999999;-34.6463729
Plaza San Marrin;Comuna 1;2017;Julio;0;-58.37700689999999;-34.5942846
Plaza E. Mitre;Comuna 2;2017;Julio;0;-58.39723710000001;-34.5881755
Plaza Almagro;Comuna 5;2017;Julio;0;-58.4193674;-34.605718200000005
Plaza Pueyrredon;Comuna 7;2017;Julio;10.8;-58.46353149999999;-34.6285889
Plaza Alem;Comuna 12;2017;Julio;48.1;-58.37072120000001;-34.6003162
Plaza Balcarce;Comuna 13;2017;Julio;68;-58.4685048;-34.547445
Palermo Viejo - Armenia;Comuna 14;2017;Julio;29.9;-58.425260200000004;-34.5887745
Rivadavia;Comuna 6;2017;Julio;29.1;-58.4506646;-34.6243051
Avellaneda;Comuna 9;2017;Julio;0;-58.3669739;-34.6610756
Velez Sarfield;Comuna 10;2017;Julio;7.3;-58.49234930000001;-34.6314852
Ibarra;Comuna 3;2017;Julio;0;-58.403515799999994;-34.617202
Puerto madero;Comuna 1;2017;Julio;4.2;-58.3620561;-34.6177194
Parque patricios;Comuna 4;2017;Julio;0;-58.4005296;-34.6362534
Plaza Rosario Vera Peñaloza;Comuna 1;2017;Julio;3.8;-58.3757713;-34.6221636
Plaza Vea;Comuna 4;2017;Julio;3.1;-58.3777027;-34.638518
25 de Agosto;Comuna 15;2017;Julio;42.1;-58.46258049999999;-34.5801724
Plaza Aristobulo del Valle;Comuna 11;2017;Julio;0;-58.492932700000004;-34.6055659
Plaza Echeverria;Comuna 13;2017;Julio;126.9;-58.46350820000001;-34.5675144
Plaza Roque Saez Peña;Comuna 11;2017;Julio;0;-58.46735409999999;-34.6103114
Plaza Ciudad de Banff;Comuna 10;2017;Julio;42.6;-58.52120040000001;-34.6285343
Plaza E. de los Andes;Comuna 10;2017;Julio;0;-58.5093299;-34.6396627
Plaza Irlanda;Comuna 6;2017;Julio;0;-58.45901240000001;-34.6140108
Plaza de los periodistas;Comuna 7;2017;Julio;6.5;-58.47299399999999;-34.621383
Portal Villa 20;Comuna 8;2017;Julio;41.1;-58.46145689999999;-34.6717503
Plaza Martin Fierro;Comuna 3;2017;Julio;0;-58.4077429;-34.6259153
Plaza Benito Nazar;Comuna 15;2017;Julio;5.8;-58.445436;-34.60479
Carrefour Boedo;Comuna 5;2017;Julio;36;-58.420189199999996;-34.630990000000004
Carrefour Urquiza;Comuna 12;2017;Julio;48;-58.494533;-34.5770799
Plaza Güemes;Comuna 14;2017;Agosto;81.6;-58.4174406;-34.586063
Parque Centenario;Comuna 6;2017;Agosto;151.4;-58.43495559999999;-34.606830200000005
Plaza Sudamerica;Comuna 4;2017;Agosto;56.1;-58.39473950000001;-34.652745700000004
Plaza Arenales;Comuna 11;2017;Agosto;155.1;-58.5122799;-34.5993652
Parque Chacabuco;Comuna 7;2017;Agosto;48.7;-58.43288159999999;-34.6340618
Parque Los Andes;Comuna 15;2017;Agosto;18.2;-58.450456300000006;-34.5898603
Plaza Boedo;Comuna 5;2017;Agosto;65;-58.41283499999999;-34.622518
Plaza M. Andrea;Comuna 2;2017;Agosto;68.3;-58.40720749999999;-34.5974235
Plaza 1ro de mayo;Comuna 3;2017;Agosto;43.2;-58.3981627;-34.611239399999995
Parque Saavedra;Comuna 12;2017;Agosto;110.5;-58.47981559999999;-34.550819
Plaza Colombia;Comuna 4;2017;Agosto;135.1;-58.374206900000004;-34.637393700000004
Plaza Don Bosco;Comuna 10;2017;Agosto;94;-58.50841080000001;-34.6260491
Parque Santojanni;Comuna 9;2017;Agosto;0;-58.51330829999999;-34.6463729
Plaza San Marrin;Comuna 1;2017;Agosto;0;-58.37700689999999;-34.5942846
Plaza E. Mitre;Comuna 2;2017;Agosto;0;-58.39723710000001;-34.5881755
Plaza Almagro;Comuna 5;2017;Agosto;19.1;-58.4193674;-34.605718200000005
Plaza Pueyrredon;Comuna 7;2017;Agosto;42.3;-58.46353149999999;-34.6285889
Plaza Alem;Comuna 12;2017;Agosto;72.5;-58.37072120000001;-34.6003162
Plaza Balcarce;Comuna 13;2017;Agosto;75.2;-58.4685048;-34.547445
Palermo Viejo - Armenia;Comuna 14;2017;Agosto;33.1;-58.425260200000004;-34.5887745
Rivadavia;Comuna 6;2017;Agosto;66.1;-58.4506646;-34.6243051
Avellaneda;Comuna 9;2017;Agosto;41.9;-58.3669739;-34.6610756
Velez Sarfield;Comuna 10;2017;Agosto;43.1;-58.49234930000001;-34.6314852
Ibarra;Comuna 3;2017;Agosto;0;-58.403515799999994;-34.617202
Puerto madero;Comuna 1;2017;Agosto;0;-58.3620561;-34.6177194
Parque patricios;Comuna 4;2017;Agosto;18.4;-58.4005296;-34.6362534
Plaza Rosario Vera Peñaloza;Comuna 1;2017;Agosto;48.9;-58.3757713;-34.6221636
Plaza Vea;Comuna 4;2017;Agosto;12.8;-58.3777027;-34.638518
